Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Male,6100,Brain,photon,10.0,10000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4,4.175741175671458e-16,0.0002606292644055,0.040000715505504,4.000071550550401,Fluence-to-dose response functions
Adult Male,6100,Brain,photon,10.0,10000,6100,Brain,1517.389677890517,5.9449e-14,0.0371051472967641,0.0341,3.4099999999999997,
Adult Male,6100,Brain,photon,10.0,10000,12000_12100,Salivary glands,88.09072105494198,1.9000500027333004e-14,0.011859179333989769,0.18736461868959445,18.736461868959445,
Adult Male,6100,Brain,photon,10.0,10000,12200_12201_12300_12301_12400_12401_12500_12501,Skin,3469.5686797503827,1.792773243259354e-15,0.0011189610466254094,0.04754283208956758,4.754283208956759,
Adult Male,6100,Brain,photon,10.0,10000,100_200,RAdrenal + LAdrenal,17.3654826537696,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,10000,300_301_302_303_401_402_403_404_405,ET region,40.874294211561896,2.8293365202469588e-14,0.017659329565825707,0.1816381359242255,18.16381359242255,
Adult Male,6100,Brain,photon,10.0,10000,7000,Gallbladder wall,10.363612759847,1.2614e-16,7.873039546525295e-05,1.0,100.0,
Adult Male,6100,Brain,photon,10.0,10000,8700,Heart wall,385.83881449935967,1.814e-15,0.0011322097461072,0.296,29.599999999999998,
Adult Male,6100,Brain,photon,10.0,10000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,422.1460954257534,3.647956225243067e-16,0.00022768751883090566,0.7625520530061657,76.25520530061657,
Adult Male,6100,Brain,photon,10.0,10000,10200_10300_10400_10500,Systemic lymph nodes,157.75215354934082,5.213419084157506e-16,0.0003253960252273622,0.6304835099221836,63.04835099221836,
Adult Male,6100,Brain,photon,10.0,10000,10600_10700_10800_10900,Muscle,29776.620790656812,9.953479505005325e-16,0.000621247326529519,0.05165334725189516,5.165334725189516,
Adult Male,6100,Brain,photon,10.0,10000,500_501_600,Oral mucosa,0.132558756435,1.1017556844787475e-14,0.0068766181025132125,0.2623941891272191,26.239418912721913,
Adult Male,6100,Brain,photon,10.0,10000,11300,Pancreas,173.6312955899076,7.5931e-16,0.00047392402553289993,0.987,98.7,
Adult Male,6100,Brain,photon,10.0,10000,11500,Prostate,17.6181441863475,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,10000,7400_7401_7402_7403,Small intestine wall,862.6001132021238,5.577417144076215e-16,0.0003481149971680278,0.37664844131505115,37.66484413150511,
Adult Male,6100,Brain,photon,10.0,10000,12700,Spleen,228.399995069508,3.7295999999999995e-16,0.0002327833224411,0.5012000000000001,50.12000000000001,
Adult Male,6100,Brain,photon,10.0,10000,13100,Thymus,25.9090285487644,1.309e-16,8.170135378469648e-05,1.0,100.0,
Adult Male,6100,Brain,photon,10.0,10000,500_13300_13301,Tongue,75.63116131116001,1.16186878682425e-14,0.007251814576296669,0.27781312669815134,27.781312669815133,
Adult Male,6100,Brain,photon,10.0,10000,13400,Tonsils,3.1090947489247,3.2113e-14,0.020043358090817,0.4366,43.66,
Adult Male,6100,Brain,photon,10.0,10000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),199.8816354031003,5.941454781823664e-16,0.0003708364393625104,0.5662748633681782,56.627486336817825,
Adult Male,6100,Brain,photon,10.0,10000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),199.8816446823837,3.785269680402496e-16,0.00023625795059508688,0.5385575236800373,53.85575236800373,
Adult Male,6100,Brain,photon,10.0,10000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),93.2653449641983,6.130266536966063e-18,3.826211421933921e-06,1.0,100.0,
Adult Male,6100,Brain,photon,10.0,10000,10000,Extrathoracic lymph nodes,15.9491859978336,2.5343e-14,0.0158178564474068,0.2782,27.82,
Adult Male,6100,Brain,photon,10.0,10000,9700_9900,Alveolar-interstitium,1198.7383429115457,9.834767781611989e-16,0.0006138379235414395,0.23944078444600678,23.944078444600677,
Adult Male,6100,Brain,photon,10.0,10000,10100,Thoracic lymph nodes,15.9492054466992,1.4078e-17,8.786796475026408e-06,1.0,100.0,
Adult Male,6100,Brain,photon,10.0,10000,6600_6601_6800_6801,Entire lens of eye,0.4563200232799999,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,10000,11400,Pituitary gland,0.6218196488647999,5.6199000000000006e-14,0.0350766568475642,0.7293999999999999,72.94,
Adult Male,6100,Brain,photon,10.0,10000,12600,Spinal cord,37.951723316125,5.8474e-15,0.0036496600162004,0.4369,43.69,
Adult Male,6100,Brain,photon,10.0,10000,13500_13600,Ureters,16.581775641709697,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,10000,11600_11700_11800_11900,Adipose/residual tissue,18212.50240985575,1.4761583958823482e-15,0.0009213456023241224,0.042961794891303355,4.296179489130336,
Adult Male,9500,Liver,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.2,5.027873880875064e-15,0.0031381520452727534,0.0657636977003195,6.576369770031951,Direct dose calculation
Adult Male,9500,Liver,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.1999999999998,6.358039639533336e-16,0.0003968376210593,0.0481644376996422,4.816443769964224,Fluence-to-dose response functions
Adult Male,9500,Liver,photon,10.0,10000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,493.0286250496823,8.121559377346672e-15,0.005069078655248393,0.10366552896666875,10.366552896666875,
Adult Male,9500,Liver,photon,10.0,10000,9700_9900,RLung + LLung,1198.7383429115457,1.07412422602904e-14,0.00670415610385876,0.07563261373379218,7.563261373379218,
Adult Male,9500,Liver,photon,10.0,10000,7200_7201_7202_7203,Stomach wall,194.2706753681761,2.2959395903036107e-14,0.01433012778729458,0.1094735753187755,10.94735753187755,
Adult Male,9500,Liver,photon,10.0,10000,6200_6300_6400_6500,Breast-a + Breast-g,25.898324961339796,3.2361373722315024e-15,0.002019838077498549,0.6190248190687894,61.90248190687894,
Adult Male,9500,Liver,photon,10.0,10000,12900_13000,Testes,37.2335030541024,4.25294995973782e-15,0.0026544825766932237,0.6751397198755832,67.51397198755832,
Adult Male,9500,Liver,photon,10.0,10000,13700_13701,Urinary bladder wall,51.098861067696,7.233879832450074e-16,0.00045150326617796163,0.44498943059289475,44.49894305928947,
Adult Male,9500,Liver,photon,10.0,10000,11000_11001_11002,Oesophagus wall,51.805516059568895,7.260761256310364e-15,0.0045318107268756645,0.2953062758679307,29.530627586793067,
Adult Male,9500,Liver,photon,10.0,10000,9500,Liver,2360.0000048976,4.562e-14,0.028473764397691705,0.0313,3.1300000000000003,
Adult Male,9500,Liver,photon,10.0,10000,13200,Thyroid,23.350524289154095,2.2085e-15,0.0013784372790947002,0.9044999999999999,90.44999999999999,
Adult Male,9500,Liver,photon,10.0,10000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4000000000001,2.0843996286609108e-15,0.00130097991970903,0.06354516759366344,6.354516759366343,Direct dose calculation
Adult Male,9500,Liver,photon,10.0,10000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4,2.9471791756791123e-16,0.0001839484556906,0.0486410250063892,4.864102500638925,Fluence-to-dose response functions
Adult Male,9500,Liver,photon,10.0,10000,6100,Brain,1517.389677890517,6.4612e-16,0.000403276384319,0.3368,33.68,
Adult Male,9500,Liver,photon,10.0,10000,12000_12100,Salivary glands,88.09072105494198,2.191900043331892e-15,0.0013680764010767401,0.5017017399564513,50.17017399564513,
Adult Male,9500,Liver,photon,10.0,10000,12200_12201_12300_12301_12400_12401_12500_12501,Skin,3469.5686797503827,1.9869914427131657e-15,0.001240182512057036,0.045448326959109796,4.54483269591098,
Adult Male,9500,Liver,photon,10.0,10000,100_200,RAdrenal + LAdrenal,17.3654826537696,2.463665317992667e-14,0.015376989438686418,0.31547087438303234,31.547087438303233,
Adult Male,9500,Liver,photon,10.0,10000,300_301_302_303_401_402_403_404_405,ET region,40.874294211561896,3.873548270105761e-16,0.00024176786678227661,0.5855,58.550000000000004,
Adult Male,9500,Liver,photon,10.0,10000,7000,Gallbladder wall,10.363612759847,5.524799999999999e-14,0.0344830893345829,0.19460000000000002,19.46,
Adult Male,9500,Liver,photon,10.0,10000,8700,Heart wall,385.83881449935967,1.4451e-14,0.0090196047635038,0.10239999999999999,10.239999999999998,
Adult Male,9500,Liver,photon,10.0,10000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,422.1460954257534,1.2685255516268662e-14,0.007917513741664878,0.1084591358321573,10.84591358321573,
Adult Male,9500,Liver,photon,10.0,10000,10200_10300_10400_10500,Systemic lymph nodes,157.75215354934082,3.2321485833795315e-15,0.0020173484713169854,0.21390874750382363,21.390874750382363,
Adult Male,9500,Liver,photon,10.0,10000,10600_10700_10800_10900,Muscle,29776.620790656812,2.079607317628812e-15,0.001297988794429587,0.03550928459756,3.550928459756,
Adult Male,9500,Liver,photon,10.0,10000,500_501_600,Oral mucosa,0.132558756435,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,10000,11300,Pancreas,173.6312955899076,2.0164e-14,0.0125853788977434,0.151,15.1,
Adult Male,9500,Liver,photon,10.0,10000,11500,Prostate,17.6181441863475,9.6542e-18,6.025677690666285e-06,1.0,100.0,
Adult Male,9500,Liver,photon,10.0,10000,7400_7401_7402_7403,Small intestine wall,862.6001132021238,5.597630659645085e-15,0.003493766255765634,0.09838732450422918,9.838732450422919,
Adult Male,9500,Liver,photon,10.0,10000,12700,Spleen,228.399995069508,6.2989e-15,0.0039314641509123,0.2596,25.96,
Adult Male,9500,Liver,photon,10.0,10000,13100,Thymus,25.9090285487644,8.2849e-15,0.0051710278531003,0.6418999999999999,64.19,
Adult Male,9500,Liver,photon,10.0,10000,500_13300_13301,Tongue,75.63116131116001,5.376583353441552e-17,3.3557993790102223e-05,0.9642,96.41999999999999,
Adult Male,9500,Liver,photon,10.0,10000,13400,Tonsils,3.1090947489247,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,10000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),199.8816354031003,1.4828250852891105e-14,0.009255066225670567,0.12378118355746374,12.378118355746375,
Adult Male,9500,Liver,photon,10.0,10000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),199.8816446823837,4.934212683605297e-15,0.003079693324004352,0.1937977826727286,19.379778267272858,
Adult Male,9500,Liver,photon,10.0,10000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),93.2653449641983,5.790754973170357e-16,0.0003614304971301901,0.6342271335677226,63.42271335677226,
Adult Male,9500,Liver,photon,10.0,10000,10000,Extrathoracic lymph nodes,15.9491859978336,8.4667e-16,0.0005284498488074,1.0,100.0,
Adult Male,9500,Liver,photon,10.0,10000,9700_9900,Alveolar-interstitium,1198.7383429115457,1.07412422602904e-14,0.00670415610385876,0.07563261373379218,7.563261373379218,
Adult Male,9500,Liver,photon,10.0,10000,10100,Thoracic lymph nodes,15.9492054466992,1.2526e-14,0.00781811426667,0.3193,31.929999999999996,
Adult Male,9500,Liver,photon,10.0,10000,6600_6601_6800_6801,Entire lens of eye,0.4563200232799999,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,10000,11400,Pituitary gland,0.6218196488647999,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,10000,12600,Spinal cord,37.951723316125,8.9849e-15,0.0056079334883126,0.3181,31.81,
Adult Male,9500,Liver,photon,10.0,10000,13500_13600,Ureters,16.581775641709697,4.6282509754562614e-15,0.002888727046219346,0.5947943035180887,59.47943035180887,
Adult Male,9500,Liver,photon,10.0,10000,11600_11700_11800_11900,Adipose/residual tissue,18212.50240985575,3.737708081870451e-15,0.002332893891068092,0.02868578192453473,2.868578192453473,
