
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
    5000|             271.915          8.347e-16              0.801
    5100|             156.175          0.000e+00               -nan
    5200|             264.976          0.000e+00               -nan
    5300|              80.240          0.000e+00               -nan
    5400|             154.840          0.000e+00               -nan
    5500|               1.685          0.000e+00               -nan
    5600|              51.347          0.000e+00               -nan
    5700|              41.959          0.000e+00               -nan
    5800|              69.351          0.000e+00               -nan
    6100|            1349.568          5.617e-14              0.121
    6200|             153.663          2.082e-16              0.972
    6300|             102.491          0.000e+00               -nan
    6400|             153.663          6.433e-17              0.999
    6500|             102.491          2.902e-16              0.999
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.100          5.772e-14              0.999
    6701|               0.304          0.000e+00               -nan
    6702|               6.051          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.100          3.938e-14              0.999
    6901|               0.304          0.000e+00               -nan
    6902|               6.051          9.869e-14              0.999
    7000|               8.201          0.000e+00               -nan
    7100|              48.000          0.000e+00               -nan
    7200|               1.561          0.000e+00               -nan
    7201|               1.044          0.000e+00               -nan
    7202|               5.256          0.000e+00               -nan
    7203|             165.012          0.000e+00               -nan
    7300|             230.000          0.000e+00               -nan
    7400|              12.341          0.000e+00               -nan
    7401|               1.922          0.000e+00               -nan
    7402|               4.831          0.000e+00               -nan
    7403|             736.662          0.000e+00               -nan
    7500|              45.227          0.000e+00               -nan
    7501|             234.773          0.000e+00               -nan
    7600|               4.451          0.000e+00               -nan
    7601|               0.322          0.000e+00               -nan
    7602|             107.784          0.000e+00               -nan
    7700|             100.007          0.000e+00               -nan
    7800|               3.680          0.000e+00               -nan
    7801|               0.266          0.000e+00               -nan
    7802|              64.847          0.000e+00               -nan
    7900|              59.995          0.000e+00               -nan
    8000|               2.196          0.000e+00               -nan
    8001|               0.160          0.000e+00               -nan
    8002|              66.428          0.000e+00               -nan
    8100|              30.005          0.000e+00               -nan
    8200|               3.021          0.000e+00               -nan
    8201|               0.220          0.000e+00               -nan
    8202|             109.320          0.000e+00               -nan
    8300|              50.003          0.000e+00               -nan
    8400|               4.222          0.000e+00               -nan
    8401|               0.306          0.000e+00               -nan
    8402|              51.761          0.000e+00               -nan
    8500|              79.993          0.000e+00               -nan
    8600|              31.268          0.000e+00               -nan
    8700|             290.890          1.324e-15              0.999
    8800|             370.000          0.000e+00               -nan
    8900|             149.091          0.000e+00               -nan
    9000|              37.441          0.000e+00               -nan
    9100|               7.494          0.000e+00               -nan
    9200|             125.147          0.000e+00               -nan
    9300|              31.440          0.000e+00               -nan
    9400|               6.292          0.000e+00               -nan
    9500|            1810.000          1.631e-15              0.641
    9700|             427.256          3.559e-15              0.994
    9900|             522.518          2.363e-16              0.689
   10000|              12.695          4.276e-14              0.645
   10100|              12.695          1.054e-14              0.999
   10200|               4.386          0.000e+00               -nan
   10300|             103.641          0.000e+00               -nan
   10400|               8.771          0.000e+00               -nan
   10500|               8.771          0.000e+00               -nan
   10600|             445.022          2.365e-14              0.243
   10700|            8324.973          1.253e-15              0.292
   10800|            1479.724          4.500e-18              0.861
   10900|            7676.720          0.000e+00               -nan
   11000|               1.871          0.000e+00               -nan
   11001|               0.101          0.000e+00               -nan
   11002|              41.247          0.000e+00               -nan
   11003|              21.240          0.000e+00               -nan
   11100|               6.318          0.000e+00               -nan
   11200|               6.318          0.000e+00               -nan
   11300|             144.552          0.000e+00               -nan
   11400|               0.615          6.159e-13              0.999
   11600|             844.543          2.507e-14              0.142
   11700|           11513.363          6.708e-16              0.278
   11800|            2171.588          3.383e-16              0.802
   11900|            7795.948          0.000e+00               -nan
   12000|              35.880          2.222e-14              0.715
   12100|              35.880          6.457e-14              0.549
   12200|             155.582          2.328e-14              0.157
   12201|               6.324          2.058e-14              0.213
   12300|             871.603          8.364e-16              0.340
   12301|              32.368          5.210e-16              0.368
   12400|             380.905          0.000e+00               -nan
   12401|              15.598          0.000e+00               -nan
   12500|             924.584          0.000e+00               -nan
   12501|              35.025          0.000e+00               -nan
   12600|              19.098          0.000e+00               -nan
   12700|             187.400          0.000e+00               -nan
   12800|              40.562          5.910e-15              0.999
   12801|               0.036          0.000e+00               -nan
   13100|              20.503          1.297e-14              0.719
   13200|              19.455          0.000e+00               -nan
   13300|              20.995          5.013e-14              0.999
   13301|              40.415          1.104e-14              0.999
   13400|               3.075          0.000e+00               -nan
   13500|               7.689          0.000e+00               -nan
   13600|               7.689          0.000e+00               -nan
   13700|              39.459          0.000e+00               -nan
   13701|               1.345          0.000e+00               -nan
   13800|             200.000          0.000e+00               -nan
   13900|              81.993          0.000e+00               -nan
   14000|               0.036          1.970e-15              0.999
=====================================================================

